OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
255364,1011664,PB17V001,Edgefield and Windomere/12th to Wentworth (alley),Alley Petition ProjectPB17-1003,2017,Street and Transportation,Alley Petitions,Complete,PBW,Daryoush Mahjoob,,daryoush.mahjoob@dallas.gov,214000,2019/01/23 06:00:00+00,2019/01/23 06:00:00+00,,2021/05/30 05:00:00+00,,2021/09/22 05:00:00+00,,2022/08/30 05:00:00+00,,2023/10/31 05:00:00+00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2019/01/23 06:00:00+00,2021/05/30 05:00:00+00,2021/09/22 05:00:00+00,2022/08/30 05:00:00+00,2023/10/31 05:00:00+00,01,214000,-177424.87,112782.85,277463.04,1,685.015051223741
255365,1011665,PB17V002,La Rue St. and Wyoming St. from Cockrell Hill Rd. to La Rue St. (alley),Alley Petition Project PB17-1003The Contractor is CCGMG Scope: L=353.17' No W/WW,2017,Street and Transportation,Alley Petitions,Complete,PBW,Daryoush Mahjoob,,daryoush.mahjoob@dallas.gov,122000,2019/01/23 06:00:00+00,2019/01/23 06:00:00+00,,2021/05/30 05:00:00+00,,2021/09/22 05:00:00+00,,2022/11/01 05:00:00+00,,2023/10/31 05:00:00+00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2019/01/23 06:00:00+00,2021/05/30 05:00:00+00,2021/09/22 05:00:00+00,2022/11/01 05:00:00+00,2023/10/31 05:00:00+00,TBD,122000,238312.19,8630.13,107720.02,3,393.55457766282
255366,1011666,PB17V003,Alley Between Cloister Drive and Estacado Drive Ashcreek from existing pavement north of McCosh Drive to existing pavement south of Peavy,"Alley Petition Project PB17-1003L= 1045.55  No W/WW	The Contractor: CCGMG",2017,Street and Transportation,Alley Petitions,Complete,PBW,Daryoush Mahjoob,,daryoush.mahjoob@dallas.gov,86000,2019/01/23 06:00:00+00,2019/01/23 06:00:00+00,,2021/05/30 05:00:00+00,,2021/09/22 05:00:00+00,,2022/05/31 05:00:00+00,,2023/10/31 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2019/01/23 06:00:00+00,2021/05/30 05:00:00+00,2021/09/22 05:00:00+00,2022/05/31 05:00:00+00,2023/10/31 05:00:00+00,TBD,86000,183138.27,12979.9,120136.53,2,501.617583726545
255367,1011667,PB17V004,Glenleigh Dr. and Manning Ln. existing pavement to Manchester (alley),Part of Alley Petition Group 17-1302,2017,Street and Transportation,Alley Petitions,Under Construction,PBW,Kathie Parmelee,214-948-4482,kathie.parmelee@dallas.gov,62000,2019/03/27 05:00:00+00,2019/03/27 05:00:00+00,,2024/04/17 05:00:00+00,,2024/06/26 05:00:00+00,,2024/09/16 05:00:00+00,,2025/11/10 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/02/01 06:00:00+00,2019/03/27 05:00:00+00,2024/04/17 05:00:00+00,2024/06/26 05:00:00+00,2024/09/16 05:00:00+00,2025/11/10 06:00:00+00,13,62000,112300.49,14991,221869.05,13,453.892766296341
255368,1011668,PB17V006,Palo Pinto Ave. and Velasco Ave. from Concho St. to Skillman St. (alley),This project consist an alley petition project of the construction of 10-feet concrete pavement with flex base.  Part of Alley Group 17-1302,2017,Street and Transportation,Alley Petitions,Under Construction,PBW,Kathie Parmelee,214-948-4482,kathie.parmelee@dallas.gov,174000,2019/03/27 05:00:00+00,2019/03/27 05:00:00+00,2024/04/17 05:00:00+00,2024/04/17 05:00:00+00,2024/06/26 05:00:00+00,2024/06/26 05:00:00+00,,2024/09/16 05:00:00+00,,2025/09/16 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/02/01 06:00:00+00,2019/03/27 05:00:00+00,2024/04/17 05:00:00+00,2024/06/26 05:00:00+00,2024/09/16 05:00:00+00,2025/09/16 05:00:00+00,14,174000,227745.8,21399.75,274664.96,14,674.487342160088
255369,1011669,PB17V005,Amhurst Ave. and Stanford Ave. from Linwood Ave. to Briarwood Ln. (alley),This project consist an alley petition project of the construction of 10-feet concrete pavement with flex base.  Part of Alley Group 17-1302,2017,Street and Transportation,Alley Petitions,Under Construction,PBW,Kathie Parmelee,214-948-4482,kathie.parmelee@dallas.gov,212000,2019/03/27 05:00:00+00,2019/03/27 05:00:00+00,,2024/04/17 05:00:00+00,,2024/06/26 05:00:00+00,,2024/09/23 05:00:00+00,,2025/11/17 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/02/01 06:00:00+00,2019/03/27 05:00:00+00,2024/04/17 05:00:00+00,2024/06/26 05:00:00+00,2024/09/23 05:00:00+00,2025/11/17 06:00:00+00,13,212000,258292.57,25163.5,322739.24,13,810.523248026336
255370,1011670,PB17V007,4812-4840 Worth St & 4807-4841 Tremont St,Alley Petition Project 17-1003 Contractor CCGMG,2017,Street and Transportation,Alley Petitions,Complete,PBW,Daryoush Mahjoob,,daryoush.mahjoob@dallas.gov,205427,2018/09/26 05:00:00+00,2019/01/23 06:00:00+00,,2021/05/30 05:00:00+00,,2021/09/22 05:00:00+00,,2022/08/02 05:00:00+00,,2023/10/31 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2018/09/26 05:00:00+00,2021/05/30 05:00:00+00,2021/09/22 05:00:00+00,2022/08/02 05:00:00+00,2023/10/31 05:00:00+00,02,205427,131655.92,85204.13,139511.59,2,642.973413480791
255371,1011671,PB17V009,2503-2623 W Lovers Ln & 2502-2614 W Amherst Ave,Part of Alley Reconstruction Group 17-2004 .This project consists of  the reconstruction of 10-feet concrete pavement with flex base.  ,2017,Street and Transportation,Alley Reconstruction,Complete,PBW,Jose L Lopez,214-948-4450,jose.lopez10@dallas.gov,195878,2018/10/24 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/09/14 05:00:00+00,2019/12/11 06:00:00+00,2019/12/11 06:00:00+00,2020/05/18 05:00:00+00,2020/05/18 05:00:00+00,,2022/11/11 06:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/12/11 06:00:00+00,2020/05/18 05:00:00+00,2022/11/11 06:00:00+00,02,195878,442852.45,188794.31,208804.75,2,615.46194787952
255372,1011672,PB17V008,1503-1551 BriarCliff Rd &  5503-5537 Mesa Cir,Part of Alley Reconstruction Group 17-2004. This project consists of  the reconstruction of 10-feet concrete pavement with flex base.  ,2017,Street and Transportation,Alley Reconstruction,Complete,PBW,Jose L Lopez,214-948-4450,jose.lopez10@dallas.gov,209573,2018/10/24 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/09/14 05:00:00+00,2019/12/11 06:00:00+00,2019/12/11 06:00:00+00,2020/05/18 05:00:00+00,2020/05/18 05:00:00+00,,2022/11/11 06:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/04 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/12/11 06:00:00+00,2020/05/18 05:00:00+00,2022/11/11 06:00:00+00,02,209573,651852.75,279922.25,300075.83,2,658.684574867858
255373,1011673,PB17V010,3703-3771 Cortez Dr & 3702-3770 Durango Dr,Alley Reconstruction,2017,Street and Transportation,Alley Reconstruction,Complete,PBW,Christopher Lutz,214-671-0077,christopher.lutz@dallas.gov,301620,2018/10/24 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/09/14 05:00:00+00,,2019/12/11 06:00:00+00,2020/03/30 05:00:00+00,2020/03/30 05:00:00+00,2020/04/29 05:00:00+00,2020/04/29 05:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024/08/03 05:00:00+00,2018/10/24 05:00:00+00,2019/09/14 05:00:00+00,2019/12/11 06:00:00+00,2020/03/30 05:00:00+00,2020/04/29 05:00:00+00,TBD,301620,45593.75,0,85.29,6,946.89448381573
