OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
106576,1006925,EC12S800,Canyon Boulevard,Canyon Blvd from Westmoreland to Colorado Blvd.,2012,Economic Development,Economic Development,Complete,,,,,10000000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023/05/04 05:00:00+00,,,,,,,0,0,0,0,Citywide,1591.55409027739
106577,1006928,EC12W048,The Canyon-Colorado Extension PH II,Colorado Boulevard Extension Ph II from 1900 south of IH 30 Service Road to Westmoreland Road,2012,Economic Development,Public / Private Development,On Hold,PBW,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,0,,,,1970/07/29 05:00:00+00,,1971/05/20 05:00:00+00,,1971/06/09 05:00:00+00,,1973/05/29 05:00:00+00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/03/18 05:00:00+00,,1970/07/29 05:00:00+00,1971/05/20 05:00:00+00,1971/06/09 05:00:00+00,1973/05/29 05:00:00+00,03,0,196256,105299.76,196256,1,1264.40566831535
106578,1006929,ECO12P889,The Canyon - Colorado Extension,Colorado Boulevard Extension Ph I from IH 30 Service Road to 1900 south7 9,2012,Economic Development,Economic Development,Complete,PBW,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/07/27 05:00:00+00,,,,,,,0,4518750.2,4531258.2,4734794.07,1,1591.55409027739
106579,1008771,PB12P833,Flowerdale Ln and Catamore Ln - Dundee Dr to Royal Chapel Dr,Alley Reconstruction Group 12-2035,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Derek White,214-948-4308,derek.white@dallas.gov,0,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2014/12/15 06:00:00+00,2014/12/15 06:00:00+00,,1971/07/17 05:00:00+00,,1971/08/16 05:00:00+00,,1973/08/05 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/09/04 05:00:00+00,2013/09/25 05:00:00+00,2014/12/15 06:00:00+00,1971/07/17 05:00:00+00,1971/08/16 05:00:00+00,1973/08/05 05:00:00+00,TBD,0,136517.38,111695.06,135210.38,13,588.027784318542
106580,1008774,PB12P897,Turtle Creek Blvd-Maple Ave to Cedar Springs Rd,,2012,Street and Transportation,Street Resurfacing,Complete,PBW,Johnny Sudbury,,johnny.sudbury@dallascityhall.com,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023/05/04 05:00:00+00,,,,,,,0,0,0,0,14,1945.56170809523
106581,1008775,PB12S200,Alley between Bishop Avenue and Haines Avenue from Neches Street to Wickford Street,,2012,Street and Transportation,Alley Petitions,Complete,PBW,Wilkens Engmann,,wilkens.engmann@dallascityhall.com,171400,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2015/04/30 05:00:00+00,2015/04/30 05:00:00+00,2015/08/12 05:00:00+00,2015/08/12 05:00:00+00,2016/04/30 05:00:00+00,2016/04/30 05:00:00+00,2017/08/24 05:00:00+00,2016/04/30 05:00:00+00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/10/02 05:00:00+00,2013/09/25 05:00:00+00,2015/04/30 05:00:00+00,2015/08/12 05:00:00+00,2016/04/30 05:00:00+00,2017/08/24 05:00:00+00,TBD,171400,221787.92,184313.56,205427.89,1,611.470595096845
106582,1008776,PB12S201,Alley between Hibernia Street and McKinney Avenue from Routh Street to Boll Street,Improvement of existing alley pavement with 10 FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,PBW,Derek White,214-948-4308,derek.white@dallas.gov,94300,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2017/02/16 06:00:00+00,2017/02/16 06:00:00+00,2017/12/11 06:00:00+00,2017/12/11 06:00:00+00,2017/12/31 06:00:00+00,2017/12/31 06:00:00+00,,2019/07/30 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/18 06:00:00+00,2014/01/22 06:00:00+00,2017/02/16 06:00:00+00,2017/12/11 06:00:00+00,2017/12/31 06:00:00+00,2019/07/30 05:00:00+00,TBD,94300,369626.58,11180.66,228449.46,14,372.497615281477
106583,1008777,PB12S202,Alley between Hibernia Street and State Street from Boll Street to Worthington Street,Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,PBW,Derek White,214-948-4308,derek.white@dallas.gov,91800,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2017/02/17 06:00:00+00,2017/05/24 05:00:00+00,2017/05/24 05:00:00+00,2017/09/25 05:00:00+00,2017/09/25 05:00:00+00,2019/01/19 06:00:00+00,2019/01/19 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024/11/23 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2017/05/24 05:00:00+00,2017/09/25 05:00:00+00,2019/01/19 06:00:00+00,TBD,91800,106440.06,59175.02,112921.98,14,335.561727410072
106584,1008778,PB12S203,"Alley between Hurley Way and Lenel Place from Williamsburg Road to """"T"""" alley south of Walnut Hill Lane",Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,202000,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2016/10/14 05:00:00+00,2017/02/17 06:00:00+00,2017/02/17 06:00:00+00,2017/06/22 05:00:00+00,2017/06/22 05:00:00+00,2019/06/30 05:00:00+00,2019/06/30 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/02/01 06:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2017/02/17 06:00:00+00,2017/06/22 05:00:00+00,2019/06/30 05:00:00+00,TBD,202000,56152.19,20470,5542.18,13,319.532750023949
106585,1008779,PB12S204,Alley between Idaho Ave and Maryland Ave from Holden Ave to estimated 250' s to Dallas Power & Light property,Alley Petitions.,2012,Street and Transportation,Alley Petitions,Complete,STS,Lap Trinh,,lap.trinh@dallascityhall.com,85700,2013/12/11 06:00:00+00,2013/12/11 06:00:00+00,2016/07/24 05:00:00+00,2016/07/24 05:00:00+00,2016/08/24 05:00:00+00,2016/08/24 05:00:00+00,2017/02/06 06:00:00+00,2017/02/06 06:00:00+00,2017/10/13 05:00:00+00,2017/10/13 05:00:00+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024/09/04 05:00:00+00,2013/12/11 06:00:00+00,2016/07/24 05:00:00+00,2016/08/24 05:00:00+00,2017/02/06 06:00:00+00,2017/10/13 05:00:00+00,TBD,85700,-107007.16,46.07,43922.8,4,270.97209635005
