OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
102309,1020277,PB24Y223,13600-13700 Rolling Hills Ln,KNOLLWOOD DR to COIT RD,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,849074,,,,,,2025/06/02 05:00:00+00,,2025/06/02 05:00:00+00,,2025/07/14 05:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/30 06:00:00+00,,,2025/06/02 05:00:00+00,2025/06/02 05:00:00+00,2025/07/14 05:00:00+00,11,849074,849074,0,0,11,2123.12980857677
102310,1020278,PB24Y341,8600-9000 White Rock Trl,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,698492,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,698492,0,0,0,10,1891.61574616302
102311,1020279,PB24Y224,14000 Brookcrest Dr,BROOKRIDGE DR to SPRING VALLEY RD,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,Christopher Lutz,214-671-0077,christopher.lutz@dallascityhall.com,481959,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,11,481959,481959,0,0,11,1204.75883128164
102312,1020280,PB24Y342,"8600-9800 Vista Oaks Dr, 8800 Vista Oaks Cir",CLOVER MEADOW DR to ARBOR PARK DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,Christopher Lutz,214-671-0077,christopher.lutz@dallascityhall.com,782473,,,,,,2025/03/01 06:00:00+00,,2025/03/01 06:00:00+00,,2025/04/12 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/03/01 06:00:00+00,2025/03/01 06:00:00+00,2025/04/12 05:00:00+00,10,782473,782473,0,0,10,1837.36924383194
102313,1020281,PB24Y343,8700-8900 Flint Falls Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,528255,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,10,528255,528255,0,0,10,1320.45987564866
102314,1020282,PB24Y225,14100-14400 Edgecrest Dr,SPRING VALLEY RD to CLIFFBROOK DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,872709,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,11,872709,872709,0,0,11,2181.27122995433
102315,1020283,PB24Y344,8900 Gunnison Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,178359,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,178359,0,0,0,10,445.83624984653
102316,1020284,PB24Y226,1500-1600 W Five Mile Pkwy,EOP to RUGGED DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,Christopher Lutz,214-671-0077,christopher.lutz@dallascityhall.com,699548,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/02/05 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,04,699548,699548,0,0,4,1750.48481497483
102317,1020285,PB24Y345,8900-9100 Bluecrest Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,435338,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,08,435338,0,0,0,8,1414.10491081547
102318,1020286,PB24Y227,15700 Daleport Cir,LA BOLSA DR to LA BOLSA DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,335926,,,,,,2025/04/01 05:00:00+00,,2025/04/01 05:00:00+00,,2025/05/13 05:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/30 06:00:00+00,,,2025/04/01 05:00:00+00,2025/04/01 05:00:00+00,2025/05/13 05:00:00+00,11,335926,335926,0,0,11,840.102240152892
102319,1020287,PB24Y346,9000-9100 Branch Hollow Dr,BRANCH HOLLOW DR to WHITEHURST DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,398465,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,10,398465,398465,0,0,10,876.645826423565
102320,1020288,PB24Y347,9000-9100 Stone Creek Place,GREENVILLE AVE to STONE CREEK PL,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,705883,,,,,,2025/04/01 05:00:00+00,,2025/04/01 05:00:00+00,,2025/05/13 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/04/01 05:00:00+00,2025/04/01 05:00:00+00,2025/05/13 05:00:00+00,10,705883,705883,0,0,10,1696.1017728653
102321,1020289,PB24Y228,15800-15900 Ranchita Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,370688,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/08/21 05:00:00+00,,,,,,12,370688,0,0,0,12,927.172656024841
102322,1020290,PB24Y348,900-1200 Dumas St,GASTON AVE to BRYAN ST,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,541088,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,14,541088,0,0,0,14,1353.43776841636
102323,1020291,PB24Y229,1600 Bennett Ave,San Jacinto to Ross Ave,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,220594,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,02,220594,220594,0,0,2,478.283632892768
102324,1020292,PB24Y349,9100 Bryson Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,144815,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,144815,0,0,0,10,361.885205865445
102325,1020293,PB24Y350,9200 Flickering Shadow Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,456294,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,456294,0,0,0,10,824.647352538954
102326,1020294,PB24Y351,9200 Moss Farm Ln,CLUB MEADOWS DR to ABRAMS RD,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,830637,,,,,,2025/06/02 05:00:00+00,,2025/06/02 05:00:00+00,,2025/06/02 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/06/02 05:00:00+00,2025/06/02 05:00:00+00,2025/06/02 05:00:00+00,10,830637,830637,0,0,10,1500.56690552725
102327,1020295,PB24Y352,9200-9400 Bluecrest Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,462223,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,08,462223,0,0,0,8,1252.35196868937
102328,1020296,PB24Y230,1600 Five Mile Ct,EOP to W FIVE MILE PKWY,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,117444,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,04,117444,117444,0,0,4,109.021670790743
102329,1020297,PB24Y353,9500-9600 Robin Meadow Dr,MEADOWKNOLL DR to ARBOR PARK DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,613942,,,,,,2025/04/01 05:00:00+00,,2025/04/01 05:00:00+00,,2025/05/13 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/04/01 05:00:00+00,2025/04/01 05:00:00+00,2025/05/13 05:00:00+00,10,613942,0,0,0,10,1534.73939678874
102330,1020298,PB24Y231,16600 Vicarage Ct,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,164227,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/08/21 05:00:00+00,,,,,,12,164227,0,0,0,12,225.885429117703
102331,1020299,PB24Y354,9600 Glenacre,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,166095,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,166095,0,0,0,10,125.155338203522
102332,1020300,PB24Y355,9600 Jourdan Way,WALNUT HILL LN to JOYCE WAY,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,114926,,,,,,2025/03/01 06:00:00+00,,2025/03/01 06:00:00+00,,2025/04/12 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/30 06:00:00+00,,,2025/03/01 06:00:00+00,2025/03/01 06:00:00+00,2025/04/12 05:00:00+00,13,114926,114926,0,0,13,466.7119240538
102333,1020301,PB24Y232,16800-16900 Hunters Point Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,431116,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/10/06 05:00:00+00,,,,,,12,431116,431116,0,0,12,1000.88959394158
102334,1020302,PB24Y356,9600 Millridge Cir,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,120612,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,120612,0,0,0,10,117.48783759726
102335,1020303,PB24Y357,9600 Orchard Hill,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,226685,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,226685,0,0,0,10,206.971586312475
102336,1020304,PB24Y001,10007-10211 Lake Gardens Dr & 992-998 N Rustic Cir (A04131),,2024,Street and Transportation,Alley Petitions,Remaining To Be Awarded,,,,,552034,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,09,552034,81977,0,0,9,1203.40553237841
102337,1020305,PB24Y233,17100 Spanky Pl,SPANKY BRANCH DR to EOP,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,154643,,,,,,2025/04/01 05:00:00+00,,2025/04/01 05:00:00+00,,2025/05/13 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025/01/30 06:00:00+00,,,2025/04/01 05:00:00+00,2025/04/01 05:00:00+00,2025/05/13 05:00:00+00,12,154643,154643,0,0,12,201.830869890512
102338,1020306,PB24Y234,17400 Oakington Ct,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,259904,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/08/21 05:00:00+00,,,,,,12,259904,0,0,0,12,345.809827199088
102339,1020307,PB24Y235,17400 Stanworth Dr,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,119556,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/08/21 05:00:00+00,,,,,,12,119556,0,0,0,12,299.409626242687
102340,1020308,PB24Y236,1800 Fernwood Ave,,2024,Street and Transportation,Street Resurfacing - Local Streets,,,,,,158785,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,04,158785,0,0,0,4,516.49124531413
102341,1020309,PB24Y003,Alley b/w Northport and Pemberton from Edgemere to Thackery,,2024,Street and Transportation,Alley Petitions,Remaining To Be Awarded,,,,,445204,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/14 06:00:00+00,,,,,,13,445204,66112,0,0,13,971.34015991259
102342,1020310,PB24Y237,5800-5900 Forest Haven Trl,EOP to EOP,2024,Street and Transportation,Street Resurfacing - Local Streets,Remaining To Be Awarded,,,,,707020,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,04,707020,707020,0,0,4,1159.70059864453
102343,1020311,PB24Y002,Alley b/w Beechwood and Park from T alley to Midway (A05036),,2024,Street and Transportation,Alley Petitions,Remaining To Be Awarded,,,,,563038,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/14 06:00:00+00,,,,,,13,563038,83611,0,0,13,1222.11254158834
102344,1020312,PB24Y238,2000-2200 Montalba Ave,FAROLA DR to JOAQUIN DR,2024,Street and Transportation,Street Resurfacing - Local Streets,Canceled/Reprogrammed,,,,,613049,,,,,,2025/02/03 06:00:00+00,,2025/02/03 06:00:00+00,,2025/03/17 05:00:00+00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/30 06:00:00+00,,,2025/02/03 06:00:00+00,2025/02/03 06:00:00+00,2025/03/17 05:00:00+00,09,613049,613049,0,0,9,1411.55251267168
102345,1020313,PB24Y004,1010-1224 E Ann Arbor Ave & 1111-1225 Neptune Rd (A02240),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,387891,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,04,387891,57601,0,0,4,845.713651943742
102346,1020314,PB24Y005,10505-10647 Mapleridge Dr & 10506-10642 Estate Ln (A08436),This is part of Project Group 24-1001.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Gilberto Arvizu,214-948-4441,gilberto.arvizu@dallas.gov,591923,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/23 06:00:00+00,,,,,,10,591923,87900,0,0,10,1290.58911670674
102347,1020315,PB24Y006,1107 Mirage Canyon Dr & 1205-1225 E Kirnwood Dr (A06398),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,103621,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,103621,0,0,0,8,226.275422219313
102348,1020317,PB24Y007,1108 Mirage Canyon Dr & 1105-1119 Kirnwood Dr (A06399),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,107289,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,107289,0,0,0,8,233.900778965784
102349,1020321,PB24Y008,11212-11232 Inwood Rd & 11280-11298 Russwood Cir (A08979),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,184243,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/31 06:00:00+00,,,,,,13,184243,27359,0,0,13,400.323010628086
102350,1020322,PB24Y009,1206-1420 Kirnwood Dr & 1223-1429 Mirage Canyon Dr (A06659),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,549742,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,549742,0,0,0,8,1198.51813696964
102351,1020323,PB24Y010,1415-1427 E Illinois Ave & 2127 Corinth St (A02085),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,292065,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,04,292065,43372,0,0,4,639.819588720935
102352,1020324,PB24Y011,3724-3834 Kiest Valley Pkwy & 3805-3865 Kiestmeadow (A11022),PROJECT GROUP 24-3001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Michael Athanasius,,michael.athanasius@dallas.gov,606939,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,03,606939,0,0,0,3,1058.98468333024
102353,1020325,PB24Y012,1906-2046 Autumn Meadow Trl & 2019-2067 Chevella Dr (A06415),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,481425,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/31 06:00:00+00,,,,,,08,481425,71491,0,0,8,1050.11662443413
102354,1020326,PB24Y013,2011-2223 San Francisco Dr & 2006-2218 El Capitan (A07879),Project Group 24-9001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Ghassan Khayyat,,ghassan.khayyat@dallas.gov,508500,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,09,508500,75513,0,0,9,1102.42793419815
102355,1020327,PB24Y014,2105-2117 Autumn Meadow & 2106-2112 Garden Crest (A06409),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,107748,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,08,107748,16000,0,0,8,234.640234012589
102356,1020328,PB24Y015,211-215 S Clinton Ave & 202-226 S Edgefield Ave (A01771),Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,139384,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,01,139384,0,0,0,1,303.364506017429
102357,1020329,PB24Y016,2226-2236 Wolcott Dr & 2227-2237 E Pentagon Pkwy (A10911),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,78404,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,78404,11642,0,0,8,171.388287237608
102358,1020330,PB24Y017,2226-2242 Talco Dr & 2227-2237 Wolcott Dr (A10912),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,115542,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,08,115542,17156,0,0,8,252.331412073764
102359,1020331,PB24Y018,2305-2829 Tolosa Dr & 2306-2828 Housley Dr (A07889),Project Group 24-9001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Ghassan Khayyat,,ghassan.khayyat@dallas.gov,974335,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,09,974335,144688,0,0,9,2117.7018683944
