GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_renter,rent_burden_pct,pct_nonwhite,tif_present,tif_district_name,oz_designated,holc_grade,holc_score,cip_project_count,cip_budget_total,cip_per_capita,tool_density,south_of_i30,redline_legacy,demo_vuln,public_invest_conc,dpi,risk_tier
48113016638,Census Tract 166.38,1868,72976,52.4,24.9,73.3,31.4,77.3,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.4807530875921264,0.0,29.326358065724424,Moderate
48113013630,Census Tract 136.30,2396,60769,31.5,38.6,90.5,14.1,70.1,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.39285674831935186,0.0,26.24998619117731,Moderate
48113012211,Census Tract 122.11,4753,39439,32.8,52.7,80.3,37.7,85.5,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5406631449206232,0.0,31.423210072221806,Moderate
48113012400,Census Tract 124,4933,77606,2.0,31.5,20.3,11.4,33.5,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.20175169911280685,0.0,19.56130946894824,Low
48113016513,Census Tract 165.13,6240,149831,37.0,26.3,8.3,27.4,63.3,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.3987300397350843,0.0,26.455551390727948,Moderate
48113016517,Census Tract 165.17,4650,71105,37.8,42.4,46.3,38.1,80.19999999999999,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5153536486817175,0.0,30.537377703860113,Moderate
48113016518,Census Tract 165.18,6113,57987,33.0,50.5,56.0,36.4,83.5,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5267575826064937,0.0,30.93651539122728,Moderate
48113016519,Census Tract 165.19,2358,100993,11.7,49.4,17.3,53.5,61.099999999999994,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.46604468564286156,0.0,28.811563997500155,Moderate
48113016607,Census Tract 166.07,3667,27913,78.7,14.5,100.0,45.5,93.2,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.6025666014244325,0.0,33.589831049855135,Moderate
48113016610,Census Tract 166.10,3616,45917,80.1,9.5,52.9,26.7,89.6,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.528161202249126,0.0,30.985642078719412,Moderate
48113013609,Census Tract 136.09,3486,89375,4.3,41.6,52.6,41.5,45.9,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.35404816973632475,0.0,24.891685940771367,Low
48113013610,Census Tract 136.10,3705,80053,4.9,38.9,33.5,31.7,43.8,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.3141509652879915,0.0,23.4952837850797,Low
48113013611,Census Tract 136.11,2693,137327,4.1,11.2,32.6,8.4,15.299999999999999,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.10173378952890977,0.0,16.060682633511842,Low
48113015306,Census Tract 153.06,6443,93884,11.2,46.1,26.3,31.9,57.3,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.3822468175433978,0.0,25.87863861401892,Moderate
48113015403,Census Tract 154.03,3768,54110,41.7,43.0,69.8,47.5,84.7,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5660587452704942,0.0,32.312056084467294,Moderate
48113015404,Census Tract 154.04,4124,52064,13.1,74.0,72.8,20.7,87.1,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.49765935884040513,0.0,29.91807755941418,Moderate
48113015500,Census Tract 155,3661,71441,8.0,67.4,64.2,16.4,75.4,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.42625354791950343,0.0,27.418874177182616,Moderate
48113015600,Census Tract 156,5569,74089,1.5,78.4,35.9,26.1,79.9,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.47785275381729214,0.0,29.224846383605225,Moderate
48113007914,Census Tract 79.14,3338,70730,15.7,8.0,89.3,26.5,23.7,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.1980537611395458,0.0,19.431881639884104,Low
48113013625,Census Tract 136.25,3014,62250,44.7,21.5,100.0,16.6,66.2,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.38085630418590216,0.0,25.829970646506574,Moderate
48113018134,Census Tract 181.34,5066,93964,21.2,20.7,4.7,0.0,41.9,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.20954679355239444,0.0,19.834137774333804,Low
48113017605,Census Tract 176.05,4040,61042,39.5,55.6,30.7,35.9,95.1,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5832566664500528,0.0,32.91398332575185,Moderate
48113011701,Census Tract 117.01,6259,58506,12.5,76.8,20.3,43.3,89.3,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5764574269648595,0.0,32.676009943770076,Moderate
48113011702,Census Tract 117.02,5639,57607,12.1,80.0,31.0,32.3,92.1,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5574576965637597,0.0,32.011019379731586,Moderate
48113012000,Census Tract 120,10690,36948,41.2,55.2,78.1,34.7,96.4,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5861638919404905,0.0,33.015736217917166,Moderate
48113012206,Census Tract 122.06,5125,103036,39.4,35.0,10.9,12.4,74.4,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.4092440729726133,0.0,26.823542554041463,Moderate
48113012207,Census Tract 122.07,7094,55520,39.3,51.7,63.5,16.5,91.0,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.50455832242906,0.0,30.1595412850171,Moderate
48113012208,Census Tract 122.08,2587,32721,34.7,61.3,100.0,37.1,96.0,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5913651595651305,0.0,33.197780584779565,Moderate
48113010704,Census Tract 107.04,6716,42530,28.9,62.6,63.6,30.6,91.5,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5493622179682308,0.0,31.727677628888074,Moderate
48113980100,Census Tract 9801,0,-666666666,,,,,0.0,0,,0,A,1.0,0.0,0.0,0.0,0,0,0.0,0.2,0.0,6.999999999999999,Low
48113000605,Census Tract 6.05,2217,109707,4.8,15.0,48.3,17.0,19.8,1,Uptown TIF,0,D,4.0,0.0,0.0,0.0,1,0,1.0,0.15004207242282042,0.4,46.251472534798715,Moderate
48113016407,Census Tract 164.07,6320,70323,11.1,77.0,49.7,25.2,88.1,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5161538831937754,0.0,30.56538591178214,Moderate
48113007101,Census Tract 71.01,2313,181944,0.0,18.8,46.7,34.3,18.8,1,Mall Area Redevelopment TIF,0,A,1.0,0.0,0.0,0.0,1,0,0.0,0.19692040944644737,0.4,22.89221433062566,Low
48113018002,Census Tract 180.02,3524,75446,28.3,47.3,33.4,24.5,75.6,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.4515523468698976,0.0,28.304332140446416,Moderate
48113009105,Census Tract 91.05,3480,61804,7.6,85.5,29.9,11.0,93.1,0,,0,,,1.0,4800000.0,1379.3103448275863,0,1,0.5,0.49855643793574583,0.024,30.909475327751107,Moderate
48113012210,Census Tract 122.10,4166,46376,40.4,40.6,80.5,32.9,81.0,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.5037610646007442,0.0,30.131637261026047,Moderate
48113009610,Census Tract 96.10,5055,52348,0.0,85.1,100.0,16.1,85.1,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.4738592736723432,0.0,29.085074578532012,Moderate
48113014121,Census Tract 141.21,5365,95758,13.2,24.2,80.8,15.6,37.4,0,,0,,,0.0,0.0,0.0,0,0,0.5,0.23384625555414407,0.0,20.68461894439504,Low
48113004201,Census Tract 42.01,4000,73234,7.6,45.8,47.3,9.8,53.4,1,TOD TIF (DART stations),0,,,0.0,0.0,0.0,1,1,0.5,0.29645301022114057,0.4,38.87585535773992,Moderate
48113017102,Census Tract 171.02,6659,60017,20.3,68.5,34.6,19.3,88.8,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5019569738347834,0.0,30.068494084217424,Moderate
48113011105,Census Tract 111.05,5349,43807,48.8,46.7,63.1,28.6,95.5,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.5633618350118397,0.0,32.21766422541439,Moderate
48113005901,Census Tract 59.01,5361,50917,58.1,39.3,32.2,18.2,97.4,0,,0,,,0.0,0.0,0.0,0,1,0.5,0.541659702811416,0.0,31.458089598399557,Moderate
48113006001,Census Tract 60.01,3824,56585,3.7,78.9,24.3,45.1,82.60000000000001,0,,0,D,4.0,0.0,0.0,0.0,0,1,1.0,0.5483580030488276,0.0,44.192530106708965,Moderate
48113006002,Census Tract 60.02,6997,43573,65.2,14.9,91.8,19.3,80.10000000000001,0,,0,D,4.0,0.0,0.0,0.0,0,1,1.0,0.4584619051855245,0.0,41.046166681493354,Moderate
48113006200,Census Tract 62,5514,44949,42.7,47.4,54.9,32.5,90.1,0,,0,D,4.0,1.0,5500000.0,997.4610083424012,0,1,1.0,0.5480614925402666,0.027499999999999997,45.28215223890933,Moderate
48113006301,Census Tract 63.01,6308,69562,8.7,89.0,21.6,2.8,97.7,0,,0,D,4.0,0.0,0.0,0.0,0,1,1.0,0.4969541114081949,0.0,42.39339389928682,Moderate
48113006302,Census Tract 63.02,3947,83827,2.3,73.4,22.8,11.5,75.7,0,,0,C,3.0,0.0,0.0,0.0,0,1,0.67,0.413049833512408,0.0,31.206744172934275,Moderate
